"","time","close"
"1",2012-02-01,8.19
"2",2012-03-01,6.6
"3",2012-04-02,7.08
"4",2012-05-01,5.96
"5",2012-06-01,7.88
"6",2012-07-02,6.53
"7",2012-08-01,7.68
"8",2012-09-03,7.58
"9",2012-10-01,7.7
"10",2012-11-01,5.35
"11",2012-12-03,5.87
"12",2013-01-02,2.56
"13",2013-02-01,4.19
"14",2013-03-01,4.13
"15",2013-04-01,2.47
"16",2013-05-01,3.31
"17",2013-06-03,3.58
"18",2013-07-01,3.71
"19",2013-08-01,3.95
"20",2013-09-02,4.43
"21",2013-10-01,4.2
"22",2013-11-01,3.76
"23",2013-12-02,4.23
"24",2014-01-02,4.9
"25",2014-02-03,6.46
"26",2014-03-03,4.07
"27",2014-04-01,4.8
"28",2014-05-01,4.45
"29",2014-06-02,5.22
"30",2014-07-01,5.97
"31",2014-08-01,6.16
"32",2014-09-01,5.48
"33",2014-10-01,6.11
"34",2014-11-03,6.81
"35",2014-12-01,7.02
"36",2015-01-02,6.81
"37",2015-02-02,6.86
"38",2015-03-02,6.77
"39",2015-04-01,7.15
"40",2015-05-01,7.08
"41",2015-06-01,7.14
"42",2015-07-01,7.57
"43",2015-08-03,7.77
"44",2015-09-01,7.88
"45",2015-10-01,8.39
"46",2015-11-02,8.43
"47",2015-12-01,8.15
"48",2016-01-04,6.01
"49",2016-02-01,4.98
"50",2016-03-01,5.18
"51",2016-04-01,6.08
"52",2016-05-02,5.99
"53",2016-06-01,4.37
"54",2016-07-01,4.36
"55",2016-08-01,4.41
"56",2016-09-01,4.91
"57",2016-10-03,5.85
"58",2016-11-01,4.54
"59",2016-12-01,6.5
"60",2017-01-03,5.31
"61",2017-02-01,5.19
"62",2017-03-01,4.65
"63",2017-04-03,4.53
"64",2017-05-01,4.95
"65",2017-06-01,4.99
"66",2017-07-03,5.19
"67",2017-08-01,5.9
"68",2017-09-01,6.96
"69",2017-10-02,7.29
"70",2017-11-01,7.45
"71",2017-12-01,8.06
"72",2018-01-02,9.19
"73",2018-02-01,10.02
"74",2018-03-01,13.21
"75",2018-04-02,13.49
"76",2018-05-01,14.82
"77",2018-06-01,14.89
"78",2018-07-02,17.3
"79",2018-08-01,21
"80",2018-09-03,21.1
"81",2018-10-01,16.3
"82",2018-11-01,20.44
"83",2018-12-03,24.61
"84",2019-01-02,22.11
"85",2019-02-01,21.54
"86",2019-03-01,21.39
"87",2019-04-01,26.15
"88",2019-05-01,24.34
"89",2019-06-03,26.19
"90",2019-07-01,27.9
"91",2019-08-01,26.26
"92",2019-09-02,24.65
"93",2019-10-01,25.53
"94",2019-11-01,25.15
"95",2019-12-02,24.44
"96",2020-01-01,23.74
"97",2020-02-03,23.5
"98",2020-03-02,17.49
"99",2020-04-01,19
"100",2020-05-01,19.08
"101",2020-06-01,26.11
"102",2020-07-01,25.42
"103",2020-08-03,28.14
"104",2020-09-01,26.19
"105",2020-10-01,23.38
"106",2020-11-02,28.84
"107",2020-12-01,32.27
"108",2021-01-01,32.78
"109",2021-02-01,37.13
"110",2021-03-01,42.37
"111",2021-04-01,48.58
"112",2021-05-03,51.56
"113",2021-06-01,56.21
"114",2021-07-01,53.25
"115",2021-08-02,60.69
"116",2021-09-01,61.64
"117",2021-10-01,58.66
"118",2021-11-01,75.32
"119",2021-12-01,80.09
"120",2022-01-03,88.8
"121",2022-02-01,89.26
