"","year","cumulative_inflation"
"1",1996,6.43115068052289
"2",1997,5.42913608896409
"3",1998,5.03962248715393
"4",1999,4.80310045345103
"5",2000,4.44688286273808
"6",2001,4.2108214677892
"7",2002,3.89079953626782
"8",2003,3.54359419947469
"9",2004,3.10593607808813
"10",2005,2.88248415500987
"11",2006,2.68309717364688
"12",2007,2.51286856855999
"13",2008,2.36085238430457
"14",2009,2.17032891615525
"15",2010,2.02241960713668
"16",2011,1.86529914885079
"17",2012,1.72204892128085
"18",2013,1.59532984643396
"19",2014,1.48396475384854
"20",2015,1.37599446230491
"21",2016,1.27920739223031
"22",2017,1.18331613440526
"23",2018,1.14141056373964
"24",2019,1.09232649755825
"25",2020,1.04805398417051
